Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.56      0.86     0.01  2400040     0.00     0.00  std::vector<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::operator[](unsigned long)
  0.56      0.86     0.01  2400022     0.00     0.00  __gnu_cxx::new_allocator<int*>::new_allocator()
  0.56      0.87     0.01  2400000     0.00     0.00  std::deque<int, std::allocator<int> >* std::__addressof<std::deque<int, std::allocator<int> > >(std::deque<int, std::allocator<int> >&)
  0.56      0.88     0.01  2399996     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.56      0.88     0.01  1200000     0.00     0.00  void std::_Destroy<std::deque<int, std::allocator<int> > >(std::deque<int, std::allocator<int> >*)
  0.56      0.89     0.01  1199998     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.56      0.89     0.01        1     5.00     5.00  void std::fill<std::_Bit_iterator, bool>(std::_Bit_iterator, std::_Bit_iterator, bool const&)
  0.00      0.89     0.00  3004686     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.89     0.00  3000041     0.00     0.00  std::deque<int, std::allocator<int> >::end()
  0.00      0.89     0.00  2418770     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_S_buffer_size()
  0.00      0.89     0.00  2400030     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.89     0.00  2400022     0.00     0.00  __gnu_cxx::new_allocator<int*>::~new_allocator()
  0.00      0.89     0.00  2400022     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_map_allocator() const
  0.00      0.89     0.00  2400022     0.00     0.00  std::allocator<int*>::allocator<int>(std::allocator<int> const&)
  0.00      0.89     0.00  2400022     0.00     0.00  std::allocator<int*>::~allocator()
  0.00      0.89     0.00  2399988     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
